"id","prolific_pid","session_id","responses","tp","tn","fp","fn","cumulative_pay","condition","incentive","trial","duration"
209,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","2,9,8",2,5,-1,-2,-200,"ci","5",1,16.175
210,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","10,9,2,8,4,7",6,3,0,-1,-520,"ci","1",27,11.835
211,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","3,9,8,6",3,6,-1,0,-400,"ci","5",17,15.545
212,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","2,5,4,10,6,8,7",7,2,0,-1,-360,"ci","1",9,7.999
213,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","null",0,4,0,-6,-400,"ci","1",22,7.051
214,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","2,9,4,5",4,4,0,-2,-280,"ci","5",2,17.124
215,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","5,8,6",1,6,-2,-1,-920,"ci","5",18,8.078
216,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","4",1,7,0,-2,-280,"ci","1",4,17.639
217,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","5,2,8,3",4,6,0,0,-720,"ci","5",3,9.562
218,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","9,3",2,7,0,-1,-120,"ci","1",17,7.667
219,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","10",1,5,0,-4,-680,"ci","5",19,8.785
220,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","4,9,3,1",4,6,0,0,80,"ci","1",30,13.919
221,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","4,7",1,6,-1,-2,-960,"ci","5",4,9.973
222,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","9,6,7,8,4",4,4,-1,-1,-1200,"ci","5",20,6.535
223,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","4,9,6,5",4,3,0,-3,-1120,"ci","5",5,6.112
224,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","4,9,5,3,8,7",5,4,-1,0,-1720,"ci","1",12,9.283
225,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","10",1,5,0,-4,-1680,"ci","1",25,12.535
226,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","null",0,5,0,-5,-1680,"ci","1",7,8.533
227,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","9,4,6",3,5,0,-2,-1560,"ci","1",20,10.344
228,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","2,9,5",3,4,0,-3,-1480,"ci","1",2,7.575
229,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","5",1,9,0,0,-1280,"ci","1",15,7.347
230,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","10,7,6",2,3,-1,-4,-3240,"ci","1",28,11.28
231,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","10",1,4,0,-5,-3240,"ci","1",10,5.935
232,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","5,10,2",2,7,-1,0,-1320,"ci","5",21,72.708
233,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","3,5,6,7",4,5,0,-1,-3080,"ci","1",23,4.878
234,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","2,8,3,9",4,6,0,0,-1120,"ci","5",6,7.729
235,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","null",0,4,0,-6,-1160,"ci","5",22,7.265
236,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","6,5,9",3,3,0,-4,-3040,"ci","1",5,15.237
237,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","6,5",1,7,-1,-1,-4880,"ci","1",18,4.873
238,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","3",1,5,0,-4,-1120,"ci","5",7,8.857
239,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","7,3,6,10,5",5,5,0,0,-920,"ci","5",23,8.071
240,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","5,8",2,1,0,-7,-4960,"ci","5",13,12.99
241,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","3,6,5,1",4,3,0,-3,-4880,"ci","5",26,6.922
