"","prolific_pid","modulo","id","session_id","responses","tp","tn","fp","fn","cumulative_pay","condition","incentive","trial","duration","positives","negatives","p_trial_id","block_id","block","trial_pay","selected_positives","alpha","payoff_trial","payoff_lower","payoff_upper","expected_over_optimal"
"15","5e3db42ae01a2602b2068256",13,179,"5e3ed1a4fb9ed5123bcb8fda","4,10,2,5,6,7,8",7,2,0,1,1240,"ci","10",9,7.042,8,2,15,15,1,160,7,9,160,-520,200,0.943134535367545
"16","5e3db42ae01a2602b2068256",13,180,"5e3ed1a4fb9ed5123bcb8fda","null",0,4,0,6,1200,"ci","10",22,7.776,6,4,16,16,2,-40,0,9,-40,-840,200,0.768491834774256
"17","5e3db42ae01a2602b2068256",13,181,"5e3ed1a4fb9ed5123bcb8fda","4",1,7,0,2,1320,"ci","10",4,16.859,3,7,17,17,2,120,1,9,120,-1320,200,0.946745562130177
"18","5e3db42ae01a2602b2068256",13,182,"5e3ed1a4fb9ed5123bcb8fda","3,9",2,7,0,1,1480,"ci","10",17,13.036,3,7,18,18,2,160,2,9,160,-1320,200,0.973044049967127
"19","5e3db42ae01a2602b2068256",13,183,"5e3ed1a4fb9ed5123bcb8fda","3,4,9,1",4,6,0,0,1680,"ci","10",30,7.262,4,6,19,19,2,200,4,9,200,-1160,200,0.999265246142542
"20","5e3db42ae01a2602b2068256",13,184,"5e3ed1a4fb9ed5123bcb8fda","4,7,8,9,5",4,4,1,1,1640,"ci","10",12,12.808,5,5,20,20,2,-40,5,9,-40,-1000,200,0.799333888426311
"21","5e3db42ae01a2602b2068256",13,185,"5e3ed1a4fb9ed5123bcb8fda","6,3",2,5,0,3,1720,"ci","10",25,17.755,5,5,21,21,2,80,2,9,80,-1000,200,0.8992506244796
"22","5e3db42ae01a2602b2068256",13,186,"5e3ed1a4fb9ed5123bcb8fda","null",0,5,0,5,1720,"ci","10",7,7.484,5,5,22,22,2,0,0,9,0,-1000,200,0.832639467110741
"23","5e3db42ae01a2602b2068256",13,187,"5e3ed1a4fb9ed5123bcb8fda","4,9,6,8",3,4,1,2,1640,"ci","10",20,18.675,5,5,23,23,2,-80,4,9,-80,-1000,200,0.766028309741882
"24","5e3db42ae01a2602b2068256",13,188,"5e3ed1a4fb9ed5123bcb8fda","9,5,2",3,4,0,3,1720,"ci","10",2,6.095,6,4,24,24,2,80,3,9,80,-840,200,0.883765609990394
"25","5e3db42ae01a2602b2068256",13,189,"5e3ed1a4fb9ed5123bcb8fda","5",1,9,0,0,1920,"ci","10",15,3.354,1,9,25,25,2,200,1,9,200,-1640,200,0.999456816947311
"26","5e3db42ae01a2602b2068256",13,190,"5e3ed1a4fb9ed5123bcb8fda","7,6,10",2,3,1,4,1760,"ci","10",28,7.959,6,4,26,26,2,-160,3,9,-160,-840,200,0.653218059558117
"27","5e3db42ae01a2602b2068256",13,191,"5e3ed1a4fb9ed5123bcb8fda","6,10",2,4,0,4,1800,"ci","10",10,8.075,6,4,27,27,2,40,2,9,40,-840,200,0.845341018251681
"28","5e3db42ae01a2602b2068256",13,192,"5e3ed1a4fb9ed5123bcb8fda","5,6,3,7",4,5,0,1,1960,"ci","10",23,5.036,5,5,28,28,2,160,4,9,160,-1000,200,0.96586178184846
"29","5e3db42ae01a2602b2068256",13,193,"5e3ed1a4fb9ed5123bcb8fda","6,5,9",3,3,0,4,2000,"ci","10",5,5.883,7,3,29,29,2,40,3,9,40,-680,200,0.817253121452894
"30","5e3db42ae01a2602b2068256",13,194,"5e3ed1a4fb9ed5123bcb8fda","5,6",1,7,1,1,1960,"ci","10",18,12.507,2,8,30,30,2,-40,2,9,-40,-1480,200,0.856632956573468
"31","5e3db42ae01a2602b2068256",13,195,"5e3ed1a4fb9ed5123bcb8fda","8,5,2,6",4,1,0,5,1960,"ci","1",13,37.184,9,1,31,1,2,1960,4,99,0,-2160,200,0.914866581956798
"32","5e3db42ae01a2602b2068256",13,196,"5e3ed1a4fb9ed5123bcb8fda","6,5,3,1",4,3,0,3,2040,"ci","1",26,8.895,7,3,32,2,2,80,4,99,80,-6080,200,0.980735551663748
"33","5e3db42ae01a2602b2068256",13,197,"5e3ed1a4fb9ed5123bcb8fda","7,3,5",3,6,0,1,2200,"ci","1",8,6.548,4,6,33,3,2,160,3,99,160,-11960,200,0.99662856672971
"34","5e3db42ae01a2602b2068256",13,198,"5e3ed1a4fb9ed5123bcb8fda","5,10,2",2,7,1,0,400,"ci","1",21,11.612,2,8,34,4,2,-1800,3,99,-1800,-15880,200,0.875567439835831
"35","5e3db42ae01a2602b2068256",13,199,"5e3ed1a4fb9ed5123bcb8fda","5,3,8,10,2",4,5,1,0,-1400,"ci","1",3,7.678,4,6,35,5,2,-1800,5,99,-1800,-11960,200,0.835457610393882
"36","5e3db42ae01a2602b2068256",13,200,"5e3ed1a4fb9ed5123bcb8fda","null",0,2,0,8,-1520,"ci","1",16,13.418,8,2,36,6,2,-120,0,99,-120,-4120,200,0.925711640823883
