"","trial","region_idx","nregions","p_value","alpha","rank","critical_value","bh_profit","is_profit","tp","tn","fp","fn"
"62",4,6,8,0.01618,0.05,2,0.0125,FALSE,TRUE,0,0,0,1
"63",4,3,8,0.0874,0.05,3,0.01875,FALSE,TRUE,0,0,0,1
"64",4,2,8,0.26811,0.05,4,0.025,FALSE,FALSE,0,1,0,0
"65",4,7,8,0.31148,0.05,5,0.03125,FALSE,TRUE,0,0,0,1
"66",4,8,8,0.91648,0.05,6,0.0375,FALSE,TRUE,0,0,0,1
"67",4,1,8,0.94599,0.05,7,0.04375,FALSE,TRUE,0,0,0,1
"68",4,4,8,0.99599,0.05,8,0.05,FALSE,FALSE,0,1,0,0
"69",4,6,12,0.00074,0.05,1,0.00416666666666667,TRUE,TRUE,1,0,0,0
"70",4,9,12,0.00491,0.05,2,0.00833333333333333,TRUE,TRUE,1,0,0,0
"71",4,11,12,0.00501,0.05,3,0.0125,TRUE,TRUE,1,0,0,0
"72",4,3,12,0.10891,0.05,4,0.0166666666666667,FALSE,TRUE,0,0,0,1
"73",4,2,12,0.12531,0.05,5,0.0208333333333333,FALSE,TRUE,0,0,0,1
"74",4,1,12,0.17784,0.05,6,0.025,FALSE,FALSE,0,1,0,0
"75",4,5,12,0.41801,0.05,7,0.0291666666666667,FALSE,FALSE,0,1,0,0
"76",4,12,12,0.43329,0.05,8,0.0333333333333333,FALSE,TRUE,0,0,0,1
"77",4,7,12,0.4703,0.05,9,0.0375,FALSE,TRUE,0,0,0,1
"78",4,8,12,0.52455,0.05,10,0.0416666666666667,FALSE,TRUE,0,0,0,1
"79",4,4,12,0.69173,0.05,11,0.0458333333333333,FALSE,FALSE,0,1,0,0
"80",4,10,12,0.97845,0.05,12,0.05,FALSE,FALSE,0,1,0,0
"81",5,2,8,0.01407,0.05,1,0.00625,FALSE,FALSE,0,1,0,0
"82",5,4,8,0.02886,0.05,2,0.0125,FALSE,FALSE,0,1,0,0
"83",5,1,8,0.04592,0.05,3,0.01875,FALSE,FALSE,0,1,0,0
"84",5,5,8,0.48778,0.05,4,0.025,FALSE,FALSE,0,1,0,0
"85",5,8,8,0.54435,0.05,5,0.03125,FALSE,FALSE,0,1,0,0
"86",5,6,8,0.57409,0.05,6,0.0375,FALSE,FALSE,0,1,0,0
"87",5,3,8,0.6072,0.05,7,0.04375,FALSE,FALSE,0,1,0,0
"88",5,7,8,0.68495,0.05,8,0.05,FALSE,FALSE,0,1,0,0
"89",5,7,12,0.00102,0.05,1,0.00416666666666667,TRUE,TRUE,1,0,0,0
"90",5,4,12,0.13498,0.05,2,0.00833333333333333,FALSE,FALSE,0,1,0,0
"91",5,9,12,0.14912,0.05,3,0.0125,FALSE,FALSE,0,1,0,0
"92",5,8,12,0.15072,0.05,4,0.0166666666666667,FALSE,FALSE,0,1,0,0
"93",5,11,12,0.21689,0.05,5,0.0208333333333333,FALSE,TRUE,0,0,0,1
"94",5,3,12,0.25089,0.05,6,0.025,FALSE,FALSE,0,1,0,0
"95",5,2,12,0.26443,0.05,7,0.0291666666666667,FALSE,FALSE,0,1,0,0
"96",5,5,12,0.68963,0.05,8,0.0333333333333333,FALSE,FALSE,0,1,0,0
"97",5,10,12,0.69555,0.05,9,0.0375,FALSE,FALSE,0,1,0,0
"98",5,6,12,0.84143,0.05,10,0.0416666666666667,FALSE,FALSE,0,1,0,0
"99",5,1,12,0.91392,0.05,11,0.0458333333333333,FALSE,FALSE,0,1,0,0
"100",5,12,12,0.97948,0.05,12,0.05,FALSE,FALSE,0,1,0,0
"101",6,6,8,0.0014,0.05,1,0.00625,TRUE,TRUE,1,0,0,0
"102",6,5,8,0.00649,0.05,2,0.0125,TRUE,TRUE,1,0,0,0
"103",6,4,8,0.11724,0.05,3,0.01875,FALSE,TRUE,0,0,0,1
"104",6,8,8,0.34853,0.05,4,0.025,FALSE,FALSE,0,1,0,0
"105",6,7,8,0.34913,0.05,5,0.03125,FALSE,FALSE,0,1,0,0
"106",6,2,8,0.56985,0.05,6,0.0375,FALSE,FALSE,0,1,0,0
"107",6,1,8,0.64394,0.05,7,0.04375,FALSE,FALSE,0,1,0,0
"108",6,3,8,0.81114,0.05,8,0.05,FALSE,FALSE,0,1,0,0
