"","trial","mu","sd","region_idx","estimate","estimate_10pc","estimate_5pc","estimate_1pc"
"85",9,1,2,5,0,TRUE,TRUE,TRUE
"86",9,1,2,6,0,TRUE,TRUE,TRUE
"87",9,1,2,7,0,TRUE,TRUE,TRUE
"88",9,1,2,8,0,TRUE,TRUE,TRUE
"89",9,0,2,9,0.89779,FALSE,FALSE,FALSE
"90",9,1,2,10,0,TRUE,TRUE,TRUE
"91",10,0,5,1,0.30628,FALSE,FALSE,FALSE
"92",10,1,5,2,0.00191,TRUE,TRUE,TRUE
"93",10,0,5,3,0.03362,TRUE,TRUE,FALSE
"94",10,0,5,4,0.09227,TRUE,FALSE,FALSE
"95",10,1,5,5,0.06802,TRUE,FALSE,FALSE
"96",10,1,5,6,0.00012,TRUE,TRUE,TRUE
"97",10,1,5,7,0.00539,TRUE,TRUE,TRUE
"98",10,0,5,8,0.98415,FALSE,FALSE,FALSE
"99",10,1,5,9,0.0038,TRUE,TRUE,TRUE
"100",10,1,5,10,0.00563,TRUE,TRUE,TRUE
"101",11,0,3.33333333333333,1,0.7766,FALSE,FALSE,FALSE
"102",11,1,3.33333333333333,2,1e-05,TRUE,TRUE,TRUE
"103",11,0,3.33333333333333,3,0.89215,FALSE,FALSE,FALSE
"104",11,1,3.33333333333333,4,0,TRUE,TRUE,TRUE
"105",11,0,3.33333333333333,5,0.67994,FALSE,FALSE,FALSE
"106",11,0,3.33333333333333,6,0.54915,FALSE,FALSE,FALSE
"107",11,1,3.33333333333333,7,0,TRUE,TRUE,TRUE
"108",11,0,3.33333333333333,8,0.46438,FALSE,FALSE,FALSE
"109",11,1,3.33333333333333,9,0.00056,TRUE,TRUE,TRUE
"110",11,1,3.33333333333333,10,0,TRUE,TRUE,TRUE
"111",12,0,2,1,0.05641,TRUE,FALSE,FALSE
"112",12,0,2,2,0.04281,TRUE,TRUE,FALSE
"113",12,1,2,3,0,TRUE,TRUE,TRUE
"114",12,1,2,4,0,TRUE,TRUE,TRUE
"115",12,0,2,5,0.84039,FALSE,FALSE,FALSE
"116",12,0,2,6,0.1237,FALSE,FALSE,FALSE
"117",12,1,2,7,0,TRUE,TRUE,TRUE
"118",12,1,2,8,0,TRUE,TRUE,TRUE
"119",12,1,2,9,0,TRUE,TRUE,TRUE
"120",12,0,2,10,0.23402,FALSE,FALSE,FALSE
"121",13,0,5,1,0.19605,FALSE,FALSE,FALSE
"122",13,1,5,2,0.00505,TRUE,TRUE,TRUE
"123",13,1,5,3,0.08922,TRUE,FALSE,FALSE
"124",13,1,5,4,0,TRUE,TRUE,TRUE
"125",13,1,5,5,7e-05,TRUE,TRUE,TRUE
"126",13,1,5,6,0.04598,TRUE,TRUE,FALSE
"127",13,1,5,7,0.0335,TRUE,TRUE,FALSE
"128",13,1,5,8,0,TRUE,TRUE,TRUE
"129",13,1,5,9,0.06476,TRUE,FALSE,FALSE
"130",13,1,5,10,0.00022,TRUE,TRUE,TRUE
"131",14,1,3.33333333333333,1,1e-05,TRUE,TRUE,TRUE
"132",14,1,3.33333333333333,2,0,TRUE,TRUE,TRUE
"133",14,1,3.33333333333333,3,0.0026,TRUE,TRUE,TRUE
"134",14,0,3.33333333333333,4,0.49608,FALSE,FALSE,FALSE
"135",14,0,3.33333333333333,5,0.48175,FALSE,FALSE,FALSE
"136",14,1,3.33333333333333,6,1e-05,TRUE,TRUE,TRUE
"137",14,0,3.33333333333333,7,0.83422,FALSE,FALSE,FALSE
"138",14,0,3.33333333333333,8,0.5761,FALSE,FALSE,FALSE
"139",14,1,3.33333333333333,9,0.00026,TRUE,TRUE,TRUE
"140",14,0,3.33333333333333,10,0.87537,FALSE,FALSE,FALSE
"141",15,0,2,1,0.46069,FALSE,FALSE,FALSE
"142",15,0,2,2,0.18414,FALSE,FALSE,FALSE
"143",15,0,2,3,0.75337,FALSE,FALSE,FALSE
"144",15,0,2,4,0.37621,FALSE,FALSE,FALSE
"145",15,1,2,5,0,TRUE,TRUE,TRUE
"146",15,0,2,6,0.72494,FALSE,FALSE,FALSE
"147",15,0,2,7,0.1655,FALSE,FALSE,FALSE
"148",15,0,2,8,0.07099,TRUE,FALSE,FALSE
"149",15,0,2,9,0.5767,FALSE,FALSE,FALSE
"150",15,0,2,10,0.78073,FALSE,FALSE,FALSE
"151",16,1,5,1,0.02484,TRUE,TRUE,FALSE
"152",16,1,5,2,0.30854,FALSE,FALSE,FALSE
"153",16,1,5,3,0,TRUE,TRUE,TRUE
