"session_id","participant_id","status","started_datetime","completed_date_time","time_taken","age","num_approvals","num_rejections","prolific_score","reviewed_at_datetime","entered_code","Country of Birth","Current Country of Residence","Employment Status","First Language","Nationality","Sex","Student Status"
"5ebaeb00e651d908efdf1409","fc1a1645","AWAITING REVIEW",2020-05-12 18:31:13,2020-05-12 18:56:23,"1510.031",21,58,1,99,NA,"29ABE0A0","Switzerland","United Kingdom","Not in paid work (e.g. homemaker', 'retired or disabled)","English","United Kingdom","Female","Yes"
"5ebaeb002a848208ea7852f7","81ccbf1d","AWAITING REVIEW",2020-05-12 18:29:29,2020-05-12 18:52:56,"1407.218",21,52,0,100,NA,"29ABE0A0","United States","United States","Unemployed (and job seeking)","English","United States","Male","Yes"
"5ebaeb00ee8f8f085ebf60bb","d9760bf5","RETURNED",2020-05-12 18:29:23,NA,"968963.762878",29,622,3,100,NA,NA,"CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"5ebaeb000edc6f09413ba56a","6d567edb","RETURNED",2020-05-12 18:29:25,NA,"968962.220949",37,931,7,99,NA,NA,"CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"5ebaeb014fa5d70962ce998b","38421759","REJECTED",2020-05-12 18:29:24,2020-05-12 18:52:25,"1380.529",54,130,3,98,2020-05-13 00:34:31,"NOCODE","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Female","No"
"5ebaeb0221254f09a8c473ad","17cdf1dd","AWAITING REVIEW",2020-05-12 18:29:31,2020-05-12 18:57:56,"1704.688",34,202,1,100,NA,"29ABE0A0","Canada","United Kingdom","Full-Time","English","Canada","Female","No"
"5ebaeb02172cca087421f0ca","cf199733","RETURNED",2020-05-12 18:29:22,NA,"968964.811681",19,21,0,100,NA,NA,"CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"5ebaeb039776ec07fda797b2","d4b43289","RETURNED",2020-05-12 18:29:28,NA,"968959.236755",51,278,16,89,NA,NA,"CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"5ebaeb038d3e7f08e2225ba0","337fdaa5","AWAITING REVIEW",2020-05-12 18:29:27,2020-05-12 18:54:42,"1514.36",27,443,0,100,NA,"29ABE0A0","South Africa","United States","Not in paid work (e.g. homemaker', 'retired or disabled)","English","South Africa","Female","No"
"5ebaeb03e767b4086666c5ef","0875b5c6","AWAITING REVIEW",2020-05-12 18:29:29,2020-05-12 18:46:07,"997.669",20,9,0,100,NA,"29ABE0A0","United States","United States","Other","English","United States","Male","Yes"
"5ebaeb0417259108c2b7333a","5bc308c5","AWAITING REVIEW",2020-05-12 18:35:59,2020-05-12 19:10:45,"2085.765",21,47,0,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Part-Time","English","United Kingdom","Female","No"
