"id","prolific_pid","session_id","responses","tp","tn","fp","fn","cumulative_pay","condition","incentive","trial","duration","flags"
25514,"fb8b755d","5ebaaa0226dc0a000acaf4a9","5,7",2,2,0,-4,-3880,"raw-data",5,4,9.091,""
25515,"6874ffbb","5ebaa9fff497010009e0b2f9","6",1,3,0,-4,520,"raw-data",5,26,17.625,""
25516,"5425cb59","5ebaaa08198b2c0009c84e04","3,1,5,7,4,2",4,2,-2,0,-1640,"raw-data",5,33,75.678,""
25517,"17bc85fd","5ebaaa1474f38100095380ac","4,7,2,1",4,2,0,-2,-5840,"raw-data",5,10,8.54,""
25518,"4333ef06","5ebaaa13044e090008d24b98","1,8,6,4,5,3,2,7",5,0,-3,0,-3360,"raw-data",5,35,29.465,""
25519,"dae5e1f0","5ebaaa3e09b13e000a8108e2","1,8",2,3,0,-7,-1440,"raw-data",5,26,18.298,""
25520,"d41d8577","5ebaaa031b9edb000a2aa097","4,10,12,2",4,5,0,-3,560,"raw-data",5,10,14.813,""
25521,"4abdbf77","5ebaa9fa1269c70008eefddd","10,9,12,4,7",4,4,-1,-3,-7600,"raw-data",5,2,16.846,""
25522,"270da909","5ebaaa0a3a9f9800095e6b4d","null",0,4,0,-4,-400,"raw-data",5,18,21.719,""
25523,"5f612236","5ebaaa02fa827c000932a3ef","6,12,2,7,1,9,5,10,11,8,4,3",8,0,-4,0,-4880,"raw-data",5,15,62.523,""
25524,"2ffaaad6","5ebaaa0a5bbb550008b73326","4",1,4,0,-3,-8720,"raw-data",5,24,16.352,""
25525,"d2917cbb","5ebaaa165a4a45000cfca3c0","5,8",2,6,0,-4,80,"raw-data",5,19,60.76,""
25526,"d67bf99a","5ebaaa12d9ef2900098cd942","null",0,5,0,-7,-680,"raw-data",5,29,9.73,""
25527,"b098f8ca","5ebaaa0b34c5ff0008e686b5","null",0,5,0,-3,360,"raw-data",5,20,8.048,""
25528,"14e40cc6","5ebaaa0e54f1b90008a40c1a","1,4,8,6,11,12",6,5,0,-1,-1280,"raw-data",5,35,19.791,""
25529,"2d334478","5ebaa9fe5f72f60009f916f8","2,3",2,6,0,-4,-3320,"raw-data",5,21,44.306,""
25530,"fb8b755d","5ebaaa0226dc0a000acaf4a9","1,7,3",2,3,-1,-2,-4200,"raw-data",5,11,7.495,""
25531,"c89dca3f","5ebaaa0ae6cdc0000a5bfe80","12,9,11,3,10,6",5,6,-1,0,-6360,"raw-data",5,24,12.582,""
25532,"f449fee6","5ebaaa141725910008e0ba7b","7,2,1,5,4,8",4,2,-2,0,-7600,"raw-data",5,18,9.743,""
25533,"ede99de8","5ebaaa0d111567000854d25a","5,6",2,3,0,-3,-2200,"raw-data",5,13,11.299,""
25534,"63c76646","5ebaaa14352260000a7e30cf","2,8,3,5",3,2,-1,-2,-1480,"raw-data",5,23,10.3,""
25535,"aa73781f","5ebaaa198f7992000b602653","6,8,2,1,4,12,7",5,2,-2,-3,-6040,"raw-data",5,15,13.611,""
25536,"f2868c09","5ebaaa0e8314b40008a4e035","6,2,8",3,3,0,-2,-2680,"raw-data",5,27,9.906,""
25537,"270da909","5ebaaa0a3a9f9800095e6b4d","null",0,2,0,-6,-480,"raw-data",5,7,6.419,""
25538,"17bc85fd","5ebaaa1474f38100095380ac","3,4,8,1,2",4,3,-1,0,-6080,"raw-data",5,21,9.53,""
25539,"233c6af4","5ebaaa05af1dad000a486f2f","12,11,6,8,10",5,5,0,-2,-5760,"raw-data",5,17,13.917,""
25540,"d67bf99a","5ebaaa12d9ef2900098cd942","null",0,7,0,-5,-640,"raw-data",5,18,6.113,""
25541,"2ffaaad6","5ebaaa0a5bbb550008b73326","7",0,3,-1,-4,-9120,"raw-data",5,1,8.043,""
25542,"2d334478","5ebaa9fe5f72f60009f916f8","null",0,5,0,-7,-3360,"raw-data",5,10,6.241,""
25543,"ada3efba","5ebaaa107e02a00008698fab","7,3,12,2",4,6,0,-2,-240,"raw-data",5,13,19.096,""
25544,"fbcde0e8","5ebaa9fdb46f9c000a082560","8,1,11,9,4,5,6,12,2,7",8,2,-2,0,-13520,"raw-data",5,23,15.968,""
25545,"fb8b755d","5ebaaa0226dc0a000acaf4a9","2,1,5",2,3,-1,-2,-4520,"raw-data",5,18,6.978,""
25546,"94d50f23","5ebaaa09b5c4fc0009be7b31","6,5,8,2,7,1,3",2,1,-5,0,-5080,"raw-data",5,30,24.688,""
25547,"d0d36aa1","5ebaaa146befc1000b9f70a5","5,3,12",3,6,0,-3,-1000,"raw-data",5,20,41.669,""
25548,"dae5e1f0","5ebaaa3e09b13e000a8108e2","12,7",2,4,0,-6,-1440,"raw-data",5,15,12.435,""
25549,"2feade86","5ebaaa13b105f100097a623d","11,7,12,4,10,2",2,6,-4,0,-1360,"raw-data",5,5,188.619,""
25550,"6874ffbb","5ebaa9fff497010009e0b2f9","6",1,5,0,-2,600,"raw-data",5,25,15.484,""
25551,"ca489acb","5ebaaa11c3d7670008f75ba1","4",0,10,-1,-1,-8680,"raw-data",5,32,20.497,""
25552,"63c76646","5ebaaa14352260000a7e30cf","2,5,8",3,4,0,-1,-1360,"raw-data",5,12,7.863,""
25553,"d41d8577","5ebaaa031b9edb000a2aa097","6,4",1,3,-1,-7,120,"raw-data",5,15,14.656,""
25554,"b098f8ca","5ebaaa0b34c5ff0008e686b5","8,4,5",3,4,0,-1,480,"raw-data",5,9,11.462,""
25555,"d67bf99a","5ebaaa12d9ef2900098cd942","6,12",2,2,0,-8,-720,"raw-data",5,7,5.035,""
25556,"f2868c09","5ebaaa0e8314b40008a4e035","null",0,7,0,-1,-2560,"raw-data",5,32,7.311,""
25557,"ede99de8","5ebaaa0d111567000854d25a","5",1,5,0,-2,-2120,"raw-data",5,6,8.628,""
25558,"7a1d01bd","5ebaaa094164a0000bdb4e99","4,6,1,2",4,2,0,-2,-5680,"raw-data",5,10,41.871,""
