"m","trial","index","p","positive"
20,3,14,0.734522954327986,0
20,3,15,0.24475933634676,0
20,3,16,0.391608930192888,0
20,3,17,0.921071735434348,1
20,3,18,0.727999310474843,0
20,3,19,0.0018561491869909,1
20,3,20,0.001,1
20,4,1,0.278356409166008,0
20,4,2,0.365205191541463,0
20,4,3,0.0349621430505067,0
20,4,4,0.828576460713521,0
20,4,5,0.87442930159159,0
20,4,6,0.0399382491041511,1
20,4,7,9.82288766053692e-05,1
20,4,8,0.061847846955061,0
20,4,9,0.648458753013983,0
20,4,10,0.290520949422031,1
20,4,11,0.0339526212650337,1
20,4,12,0.0420086443657351,1
20,4,13,0.571173526113853,0
20,4,14,0.00527932512972723,1
20,4,15,0.171277445275337,0
20,4,16,0.737860709195957,0
20,4,17,0.81535437097773,0
20,4,18,0.450921540847048,0
20,4,19,0.114902787376195,0
20,4,20,0.670154327759519,0
20,5,1,0.874248476931825,0
20,5,2,0.230775658972561,0
20,5,3,0.257285584928468,0
20,5,4,0.589167446829379,0
20,5,5,0.110049777510196,1
20,5,6,0.291085447184741,0
20,5,7,0.133855539606884,0
20,5,8,0.305620822856986,1
20,5,9,0.584857202833518,0
20,5,10,0.371872590156272,0
20,5,11,0.399089002516121,0
20,5,12,0.0171604282335337,1
20,5,13,0.059620306128636,0
20,5,14,0.0330647287462266,1
20,5,15,0.46330852760002,0
20,5,16,0.381050725700334,0
20,5,17,0.0227211914094496,1
20,5,18,0.233999017227665,1
20,5,19,0.962574367178604,0
20,5,20,0.229899928206578,0
20,6,1,0.0519520319457454,1
20,6,2,0.485984191996977,0
20,6,3,0.0209591588391239,1
20,6,4,0.67610862152651,0
20,6,5,0.148335630772635,0
20,6,6,0.0659663364158697,1
20,6,7,0.757732071215287,0
20,6,8,0.172800911357626,0
20,6,9,0.0605851591099054,0
20,6,10,0.762322315247729,0
20,6,11,0.114918464928839,1
20,6,12,0.00126968210503628,1
20,6,13,0.00197125147859357,1
20,6,14,0.625893636140972,0
20,6,15,0.585819108178839,0
20,6,16,0.895776221062988,0
20,6,17,0.437621938064694,0
20,6,18,0.871150973485783,0
20,6,19,0.622598701389506,0
20,6,20,0.947699786862358,0
20,7,1,0.21003887639381,0
20,7,2,0.035478164231775,1
20,7,3,0.113205368164927,0
20,7,4,0.808561239624396,0
20,7,5,0.226072375429794,0
20,7,6,0.21010947576724,0
20,7,7,0.813528398517519,0
20,7,8,0.166477687656879,0
20,7,9,0.160054376116022,0
20,7,10,0.131839553825557,0
20,7,11,0.0130528189104533,1
20,7,12,0.0727025798428023,1
20,7,13,0.737229558173567,0
20,7,14,0.0799286412075162,0
20,7,15,0.180312785362403,1
20,7,16,0.70879964879714,0
20,7,17,0.435040147043765,0
20,7,18,0.068081616478602,1
20,7,19,0.120556889101863,0
20,7,20,0.28544946274619,1
20,8,1,0.275367859052494,0
20,8,2,0.0379249521576571,1
20,8,3,0.00560382993352183,1
20,8,4,0.692435302073136,0
20,8,5,0.16174578294158,0
20,8,6,0.431521900463849,0
20,8,7,0.0132528046574131,1
20,8,8,0.00984119801528725,1
20,8,9,0.0462863221764565,0
20,8,10,0.578752215020359,0
20,8,11,0.414913348853588,0
20,8,12,0.678562104236335,0
20,8,13,0.180674400180578,0
20,8,14,0.969364961143583,0
20,8,15,0.108346187509596,0
20,8,16,0.546020554145798,0
20,8,17,0.000526802444883837,1
20,8,18,0.641281649237499,0
20,8,19,0.811587051022798,0
20,8,20,0.0143156013948194,1
20,9,1,0.0640075032355699,1
20,9,2,0.373453524141316,1
20,9,3,0.0807517449206501,1
20,9,4,0.761373392306268,0
20,9,5,0.128530529173831,1
20,9,6,0.618697465863079,0
20,9,7,0.225454558385536,0
20,9,8,0.3089519450441,0
20,9,9,0.403506541624665,0
20,9,10,0.13176756631583,0
20,9,11,0.771541911642998,0
20,9,12,0.0857141443993896,0
20,9,13,0.135540626710281,0
20,9,14,0.314126248005778,0
20,9,15,0.00722294070557266,1
20,9,16,0.846605249447748,0
20,9,17,0.990317456191406,0
20,9,18,0.527169885579497,0
20,9,19,0.0211921031490325,1
20,9,20,0.345853980397806,0
20,10,1,0.0127695600285638,1
20,10,2,0.455020609777421,0
20,10,3,0.785737511701882,0
20,10,4,0.364306251285598,0
20,10,5,0.961074212333187,0
20,10,6,0.800565073033795,0
20,10,7,0.00589813381057712,1
20,10,8,0.18223465209684,1
20,10,9,0.491793274646625,0
20,10,10,0.0089031130654967,1
20,10,11,0.472793716238812,0
20,10,12,0.00151072796991597,1
20,10,13,0.0139853442994126,1
20,10,14,0.813858734210953,0
20,10,15,0.544250380015001,0
20,10,16,0.125613474287093,0
20,10,17,0.147646022960544,0
20,10,18,0.815829804399982,0
20,10,19,0.888921180507168,0
20,10,20,0.0193404904566705,0
8,1,1,0.361513090785593,0
8,1,2,0.053357721722029,1
8,1,3,0.322011524345726,0
8,1,4,0.552160830702633,0
8,1,5,0.971265458269045,0
8,1,6,0.102320290965431,1
8,1,7,0.574144914280623,0
8,1,8,0.641348162665963,0
8,2,1,0.82394898426719,0
8,2,2,0.749838356627151,0
8,2,3,0.057222250874915,1
8,2,4,0.980868943035603,0
8,2,5,0.555860082851723,0
8,2,6,0.294243917101994,0
8,2,7,0.159590451512486,0
8,2,8,0.00649861570491884,1
8,3,1,0.231672843774464,1
8,3,2,0.354776406660676,0
8,3,3,0.763933732407168,0
8,3,4,0.313788035651669,0
8,3,5,0.714771501719952,0
8,3,6,0.608258977299556,0
8,3,7,0.383686288259923,0
8,3,8,0.0291363534762917,1
8,4,1,0.95332052744925,0
8,4,2,0.787595313275233,0
8,4,3,0.188161631019735,1
8,4,4,0.15758059010841,0
8,4,5,0.815564992371947,0
8,4,6,0.0952283214327022,1
8,4,7,0.877796972636133,0
8,4,8,0.123842034256086,0
8,5,1,0.0173455821980864,1
8,5,2,0.71841338602826,0
8,5,3,0.262134749442339,0
8,5,4,0.0552861983887851,0
8,5,5,0.877842324087396,0
8,5,6,0.378849565284327,0
8,5,7,0.00361907272902727,1
8,5,8,0.67345221224241,0
