"id","prolific_pid","session_id","responses","tp","tn","fp","fn","cumulative_pay","condition","incentive","trial","duration","flags"
13512,"59a959925ea0f30001281475","5e9daf0a8662720b6dcac98a","11,9,12,4,10,8,3",5,4,-2,-1,-20720,"ci","5",22,15.958,
13513,"58ab12f1e6afe00001d36237","5e9daece73ed8c0c30f7c2c2","6,1",2,3,0,-3,-1920,"ci","5",26,9.277,
13514,"5cebae5b2e4f1700012a915a","5e9daeee3fcda10b668d8552","6,5",2,5,0,-1,-8040,"ci","5",6,5.3,
13515,"5e70d17c2a461402e1567b7b","5e9db1764157fb0c3cf6ca8d","1",1,4,0,-3,1120,"ci","5",18,72.202,
13516,"5e7bcff00fb32c0f51fea882","5e9daed9e3075e0c31f314ef","10,3,5,11",4,6,0,-2,240,"ci","5",34,7.949,
13517,"5b06ebe96f73510001fdb40e","5e9dafed73ed8c0c84d2b877","11,4,1,7,3",5,5,0,-2,-1600,"ci","5",29,14.924,
13518,"5db782f5e757dd000d27a3f0","5e9daed1491f350b8bb38ff1","6,1,2,3,7",0,3,-5,0,-6560,"ci","5",5,16.558,
13519,"5ac5732d1667e40001d867f9","5e9db2ae2161b50c3f277221","3",1,2,0,-9,-400,"ci","5",7,23.526,
13520,"58ab12f1e6afe00001d36237","5e9daece73ed8c0c30f7c2c2","4,5",2,4,0,-2,-1840,"ci","5",9,8.269,
13521,"5cd6eba26834a6001746b667","5e9db2ae1bc5790c36b82aca","7,2,12,1,8,10,11",3,3,-4,-2,-15440,"ci","5",16,11.009,
13522,"5e676e7444dbe8000a3070c5","5e9db2f104606b0c5890ebda","9,3,6,7,12,2,11,10,5,1",2,2,-8,0,-25840,"ci","5",5,8.846,
13523,"5e70d17c2a461402e1567b7b","5e9db1764157fb0c3cf6ca8d","7,4",1,3,-1,-3,760,"ci","5",1,8.565,
13524,"5e8b5a6ce1552d02238e37fb","5e9daee54c037e0bbf8a2bbd","8,10,9,5",1,8,-3,0,-30640,"ci","5",32,17.315,
13525,"5e7bcff00fb32c0f51fea882","5e9daed9e3075e0c31f314ef","2,6,5,8,11",5,4,0,-3,360,"ci","5",23,7.676,
13526,"5b06ebe96f73510001fdb40e","5e9dafed73ed8c0c84d2b877","3,5,10",3,6,0,-3,-1480,"ci","5",28,9.567,
13527,"5e3ec5ff2b6788000b3d7d4c","5e9db1ebb133cb0ba8d3c67d","4,7,8",1,9,-2,0,-3320,"ci","5",32,19.623,
13528,"59a959925ea0f30001281475","5e9daf0a8662720b6dcac98a","5,6,4,3,7,12,8,9,10",5,3,-4,0,-22080,"ci","5",11,19.311,
13529,"5e676e7444dbe8000a3070c5","5e9db2f104606b0c5890ebda","10,1,7,11,4,3,12,2",4,3,-4,-1,-27240,"ci","5",24,4.253,
13530,"5db782f5e757dd000d27a3f0","5e9daed1491f350b8bb38ff1","3,6,2,8,5,4",3,2,-3,0,-7600,"ci","5",16,9.568,
13531,"58ab12f1e6afe00001d36237","5e9daece73ed8c0c30f7c2c2","4",1,4,0,-3,-1800,"ci","5",28,7.042,
13532,"5cebae5b2e4f1700012a915a","5e9daeee3fcda10b668d8552","4",0,3,-1,-4,-8440,"ci","5",11,15.069,
13533,"5cd6eba26834a6001746b667","5e9db2ae1bc5790c36b82aca","5,11,9,2,6,12,10,4,1,7",8,2,-2,0,-16000,"ci","5",33,9.449,
13534,"5e676e7444dbe8000a3070c5","5e9db2f104606b0c5890ebda","1,9,12,11,8,4,5",5,0,-2,-5,-28000,"ci","5",7,3.644,
13535,"5ac5732d1667e40001d867f9","5e9db2ae2161b50c3f277221","8",1,11,0,0,-160,"ci","5",32,10.461,
13536,"5e7bcff00fb32c0f51fea882","5e9daed9e3075e0c31f314ef","9,1,8,3,12",5,7,0,0,600,"ci","5",12,7.059,
13537,"5e8b5a6ce1552d02238e37fb","5e9daee54c037e0bbf8a2bbd","3,11,12,5,10,4",6,5,0,-1,-30440,"ci","5",3,8.787,
13538,"5cebae5b2e4f1700012a915a","5e9daeee3fcda10b668d8552","8,3",2,5,0,-1,-8320,"ci","5",16,5.175,
13539,"5e676e7444dbe8000a3070c5","5e9db2f104606b0c5890ebda","1,9,5,8,6,2",5,2,-1,-4,-28320,"ci","5",26,5.046,
13540,"58ab12f1e6afe00001d36237","5e9daece73ed8c0c30f7c2c2","7",1,4,0,-3,-1760,"ci","5",11,7.629,
13541,"5e3ec5ff2b6788000b3d7d4c","5e9db1ebb133cb0ba8d3c67d","6",0,5,-1,-6,-3720,"ci","5",9,9.827,
13542,"5db782f5e757dd000d27a3f0","5e9daed1491f350b8bb38ff1","8,5,3,6,2",5,3,0,0,-7440,"ci","5",27,10.529,
13543,"5cd6eba26834a6001746b667","5e9db2ae1bc5790c36b82aca","2,7,12,1,11,4,6,5",6,4,-2,0,-16560,"ci","5",14,8.559,
13544,"5b06ebe96f73510001fdb40e","5e9dafed73ed8c0c84d2b877","12,10,11,8,6,4,7,5",8,4,0,0,-1240,"ci","5",27,13.262,
13545,"5e8b5a6ce1552d02238e37fb","5e9daee54c037e0bbf8a2bbd","3,4,6,1,12,2,10",5,3,-2,-2,-31080,"ci","5",10,7.244,
13546,"5cebae5b2e4f1700012a915a","5e9daeee3fcda10b668d8552","8,4,2",3,4,0,-1,-8200,"ci","5",21,6.53,
13547,"5e7bcff00fb32c0f51fea882","5e9daed9e3075e0c31f314ef","2",0,6,-1,-5,240,"ci","5",1,7.762,
13548,"5e676e7444dbe8000a3070c5","5e9db2f104606b0c5890ebda","6,7,9,4",2,4,-2,-4,-29040,"ci","5",9,4.875,
13549,"5ac5732d1667e40001d867f9","5e9db2ae2161b50c3f277221","2,12",2,6,0,-4,-80,"ci","5",21,9.083,
13550,"5e94320f050e34000816c2f8","5e9db419317a370c952abcb5","4,6,8,1",2,1,-2,-3,-760,"ci","5",23,36.49,
13551,"5e676e7444dbe8000a3070c5","5e9db2f104606b0c5890ebda","3,6,2,5,4",5,6,0,-1,-28840,"ci","5",28,4.822,
13552,"5cebae5b2e4f1700012a915a","5e9daeee3fcda10b668d8552","7,1,6",3,3,0,-2,-8120,"ci","5",26,5.769,
13553,"5db782f5e757dd000d27a3f0","5e9daed1491f350b8bb38ff1","2,1,4,3",3,2,-1,-2,-7760,"ci","5",2,9.608,
13554,"5e8b5a6ce1552d02238e37fb","5e9daee54c037e0bbf8a2bbd","11,8,1,12,6,10",5,4,-1,-2,-31320,"ci","5",17,7.446,
13555,"59a959925ea0f30001281475","5e9daf0a8662720b6dcac98a","6,7,1,4,2",3,3,-2,0,-22720,"ci","5",25,11.538,
13556,"5e676e7444dbe8000a3070c5","5e9db2f104606b0c5890ebda","8,4,11,7",3,6,-1,-2,-29080,"ci","5",11,3.857,
13557,"58ab12f1e6afe00001d36237","5e9daece73ed8c0c30f7c2c2","6,7,1",2,5,-1,0,-2000,"ci","5",30,15.523,
13558,"5e3ec5ff2b6788000b3d7d4c","5e9db1ebb133cb0ba8d3c67d","8,12,3",3,6,0,-3,-3600,"ci","5",22,15.292,
13559,"5cebae5b2e4f1700012a915a","5e9daeee3fcda10b668d8552","4,5",2,3,0,-3,-8080,"ci","5",31,5.91,
13560,"5e7bcff00fb32c0f51fea882","5e9daed9e3075e0c31f314ef","10,1,6,8,2",5,3,0,-4,320,"ci","5",26,12.805,
13561,"5e676e7444dbe8000a3070c5","5e9db2f104606b0c5890ebda","11,10,2,4,1",2,5,-3,-2,-30120,"ci","5",30,3.46,
13562,"5ac5732d1667e40001d867f9","5e9db2ae2161b50c3f277221","4",1,5,0,-6,-80,"ci","5",10,15.337,
