session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
5ebad1c87e02a0056ec3a837,5e2817d180e02ea2112d0b44,AWAITING REVIEW,2020-05-12 16:41:46.952000,2020-05-12 16:57:53.090000,966.138,28,41,0,100,,29ABE0A0,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
5ebad1c909b13e0546a638d3,5eb5b9c67af9ce48d087f8a0,RETURNED,2020-05-12 16:42:09.174000,,975398.041551,19,17,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebad1ca7d4ea3053270fda6,5d7f8ad928d0e70001e54a7a,AWAITING REVIEW,2020-05-12 16:41:53.482000,2020-05-12 17:04:29.114000,1355.632,40,109,2,99,,29ABE0A0,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
5ebad1d35d938705bf2baa60,5e62545ed023bc0382092f52,AWAITING REVIEW,2020-05-12 16:41:58.217000,2020-05-12 17:34:25.033000,3146.816,40,43,0,100,,29ABE0A0,United Kingdom,Ireland,Full-Time,English,United Kingdom,Female,No
5ebad1e03c9fde050d617e2d,5e10f676a7fba67c0e090262,AWAITING REVIEW,2020-05-12 16:42:14.950000,2020-05-12 17:03:34.437000,1279.487,34,82,0,100,,29ABE0A0,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
5ebad1f8885605055f781982,5eb6f17868d6ba0788136e70,RETURNED,2020-05-12 16:42:34.636000,,975372.644801,22,9,1,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebad3107d4ea3053270fdae,5eb4ba4ec885940009ecee48,RETURNED,2020-05-12 16:47:38.360000,,975068.920881,20,11,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebad347b3d70005f2467304,5e0fe41c15ef406fb0b04101,RETURNED,2020-05-12 16:54:58.871000,,974628.409919,26,87,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebad4569ca0440594f28317,5da179412996110016d853d5,AWAITING REVIEW,2020-05-12 16:52:42.900000,2020-05-12 17:12:12.270000,1169.37,31,147,1,100,,29ABE0A0,United Kingdom,United Kingdom,Other,English,United Kingdom,Female,No
5ebad4bc215ffc05e83e23d4,5e988f24cc36260ac235aa6c,AWAITING REVIEW,2020-05-12 17:00:20.285000,2020-05-12 17:17:37.101000,1036.816,22,29,0,100,,29ABE0A0,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Male,No
5ebad6af404867061d21db0a,5eaf1c2d3ae57560df5f01a0,RETURNED,2020-05-12 17:02:41.896000,,974165.426839,22,11,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebad81de7d9a806c533c1c5,5e0f5f8658a5c768bf461df8,AWAITING REVIEW,2020-05-12 17:09:13.986000,2020-05-12 17:43:12.808000,2038.822,59,63,1,100,,29ABE0A0,United Kingdom,United Kingdom,Other,English,United Kingdom,Female,No
5ebad84ef16ab906ac771f5f,5656389d995911000f482b7d,AWAITING REVIEW,2020-05-12 17:09:36.834000,2020-05-12 17:40:16.882000,1840.048,36,601,5,100,,29ABE0A0,Canada,Canada,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,Canada,Female,No
5ebad858be3dfa070627f315,5ea85faede405c0a0f3f6e44,REJECTED,2020-05-12 17:09:44.001000,2020-05-12 17:22:31.534000,767.533,23,15,1,96,2020-05-12 17:58:38.796000,NOCODE,Canada,Canada,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,Canada,Female,Yes
5ebad8c3e767b40679451852,5c446de311bc1c0001fff3fe,AWAITING REVIEW,2020-05-12 17:11:31.161000,2020-05-12 17:48:50.885000,2239.724,19,332,0,100,,29ABE0A0,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,Yes
5ebad9d061fdfd06420cc872,5cab9396b55c520016af9587,AWAITING REVIEW,2020-05-12 17:16:03.895000,2020-05-12 17:51:54.075000,2150.18,23,163,4,98,,29ABE0A0,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Male,No
5ebadd783c9fde076734ab9c,5eb46bee7761382bef1b0e60,RETURNED,2020-05-12 17:31:45.174000,,972422.253639,43,11,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebaddd521254f07687d0c96,5b7535d184850400011a07b8,RETURNED,2020-05-12 17:33:12.562000,,972334.865713,33,472,13,96,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebadf3d4282cb0836f8fcce,5c3bdfc3eaafcb0001fb9a98,AWAITING REVIEW,2020-05-12 17:39:11.706000,2020-05-12 17:53:02.941000,831.235,26,372,1,100,,29ABE0A0,United States,United States,Full-Time,English,United States,Female,No
5ebaeaf9c4b334087ea0270b,5d55029618ca41001c7c3583,AWAITING REVIEW,2020-05-12 18:30:16.489000,2020-05-12 18:51:35.974000,1279.485,31,104,1,100,,29ABE0A0,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
5ebaeaf9628eaf092a968b08,582edeb7565a7100012a10df,AWAITING REVIEW,2020-05-12 18:29:15.919000,2020-05-12 18:48:32.150000,1156.231,24,441,1,100,,29ABE0A0,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Male,Yes
5ebaeafb05594f083e3f1c3a,5e7cb4bed7c6972f396b26c7,RETURNED,2020-05-12 18:29:17.449000,,968970.044081,20,29,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebaeafce7d9a80897948392,5e9766724f02b80b276b72ab,RETURNED,2020-05-12 18:29:30.992000,,968956.501195,28,84,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
