"id","prolific_pid","session_id","responses","tp","tn","fp","fn","cumulative_pay","condition","incentive","trial","duration"
6339,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","9,2,7,4,8,5,12,1,10,6",6,2,-4,0,-1360,"ci","5",18,17.713
6340,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","12,10,11,5,3,8,1,7,2,6",7,2,-3,0,-2320,"ci","5",5,19.955
6341,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","12,6,11,5,2,4,8,9",7,4,-1,0,-2480,"ci","5",23,17.894
6342,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","2,6,9,5,7,1",5,5,-1,-1,-2680,"ci","5",10,28.596
6343,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","3,4,2,1,8,10,6",4,5,-3,0,-3640,"ci","5",28,22.849
6344,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","12,2,9,6,10,3,5,8",6,4,-2,0,-4200,"ci","5",15,15.109
6345,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","9,1,5,8,2,6,7,12,4,10",5,2,-5,0,-5960,"ci","5",2,15.969
6346,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","7,9,4,11",4,3,0,-5,-5920,"ci","5",20,27.225
6347,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","6,7,11,5,3",3,4,-2,-3,-6600,"ci","5",7,17.74
6348,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","2,11,4",2,5,-1,-4,-6920,"ci","5",25,11.438
6349,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","11,9,7,10,5",4,2,-1,-5,-7280,"ci","5",12,13.821
6350,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","4,1,12,9,5",3,4,-2,-3,-7960,"ci","5",30,13.13
6351,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","2,10,3,5",4,3,0,-5,-7920,"ci","5",17,12.756
6352,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","4,11",1,3,-1,-7,-8360,"ci","5",4,10.923
6353,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","9,4,11,6,10",3,2,-2,-5,-9120,"ci","5",22,12.41
6354,"5e6e880e03cac4000c303b57","5e6f922acc939804bb9287f6","10,7,4,6,9,2",4,5,-2,-1,-600,"ci","5",19,32.823
6355,"5e6e880e03cac4000c303b57","5e6f922acc939804bb9287f6","6,7,10",2,5,-1,-4,-920,"ci","5",7,70.551
6356,"5e6e880e03cac4000c303b57","5e6f922acc939804bb9287f6","9,8,1,12,5,7,11,2,6,10",9,2,-1,0,-1080,"ci","5",26,23.086
6357,"5e6e880e03cac4000c303b57","5e6f922acc939804bb9287f6","6,7,1,2,12,5,4,10,3",9,2,0,-1,-880,"ci","5",14,24.572
6358,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","2,1,4,12,7,10",0,1,-6,-5,-11480,"ci","5",9,134.119
6359,"5e6e880e03cac4000c303b57","5e6f922acc939804bb9287f6","7,6,5,1,9",5,7,0,0,-640,"ci","5",2,14.67
6360,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","9,5,7,1,2",5,4,0,-3,-11360,"ci","5",27,10.845
6361,"5e6e880e03cac4000c303b57","5e6f922acc939804bb9287f6","12,3,11,9,7,2,4",7,5,0,0,-400,"ci","5",21,15.58
6362,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","7,2,3,6,9,5",6,2,0,-4,-11280,"ci","5",14,14.661
6363,"5e6e880e03cac4000c303b57","5e6f922acc939804bb9287f6","9,8,3,6,10,11,5",5,5,-2,0,-960,"ci","5",9,7.754
6364,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","10,4,3,11,9,8,5",5,2,-2,-3,-11960,"ci","5",1,16.134
6365,"5e6e880e03cac4000c303b57","5e6f922acc939804bb9287f6","6,8,10",3,8,0,-1,-760,"ci","5",28,21.207
6366,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","11,7,5,10,9",3,5,-2,-2,-12600,"ci","5",19,12.963
6367,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","null",0,5,0,-7,-12640,"ci","5",6,5.896
6368,"5e6e880e03cac4000c303b57","5e6f922acc939804bb9287f6","2,11,7,9",4,5,0,-3,-640,"ci","5",16,12.267
6369,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","11,4,7,6,10,9",5,2,-1,-4,-12960,"ci","5",24,15.144
6370,"5e6e880e03cac4000c303b57","5e6f922acc939804bb9287f6","3,7,10,11,9,1,2",7,4,0,-1,-440,"ci","5",4,17.773
6371,"5e6e880e03cac4000c303b57","5e6f922acc939804bb9287f6","2,5,6,9,4,12,8",7,5,0,0,-200,"ci","5",23,9.573
6372,"5e6e880e03cac4000c303b57","5e6f922acc939804bb9287f6","7,5,6",2,8,-1,-1,-400,"ci","5",11,9.986
6373,"5e6e880e03cac4000c303b57","5e6f922acc939804bb9287f6","12,2,8,4,9,7",6,6,0,0,-160,"ci","5",30,9.709
6374,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","1,2,8,7,9",0,4,-5,-3,-14840,"ci","5",11,15.728
6375,"5e6e880e03cac4000c303b57","5e6f922acc939804bb9287f6","2,4,1,7,6,9,5,10",6,4,-2,0,-720,"ci","5",18,7.069
6376,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","1,3,2,12,7",3,7,-2,0,-15400,"ci","5",29,11.789
6377,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","3,2,4",2,4,-1,-5,-15760,"ci","5",16,13.398
6378,"5e6e880e03cac4000c303b57","5e6f922acc939804bb9287f6","12,11,5,7,9,10,3",6,4,-1,-1,-920,"ci","5",6,23.457
6379,"5e6e880e03cac4000c303b57","5e6f922acc939804bb9287f6","6,11,12,1,2",4,5,-1,-2,-1160,"ci","5",25,10.66
6380,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","5,6,11,4,2",3,5,-2,-2,-16400,"ci","5",3,13.74
6381,"5e6e880e03cac4000c303b57","5e6f922acc939804bb9287f6","null",0,8,0,-4,-1080,"ci","5",13,12.598
6382,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","9,7,4,8,3,2",5,4,-1,-2,-16640,"ci","5",21,13.824
6383,"5e6e880e03cac4000c303b57","5e6f922acc939804bb9287f6","3,1,7,12",4,4,0,-4,-1000,"ci","5",1,9.383
6384,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","1,5,7,12,11",4,7,-1,0,-16800,"ci","5",8,14.297
6385,"5e6e880e03cac4000c303b57","5e6f922acc939804bb9287f6","10,9,7,4,5",5,3,0,-4,-920,"ci","5",20,13.243
6386,"5d0f5ed255f0c7001934648d","5e6f923b0cf1040414ecb989","9,6,12,1,11",5,3,0,-4,-16720,"ci","5",26,12.597
6387,"5e6e880e03cac4000c303b57","5e6f922acc939804bb9287f6","null",0,8,0,-4,-840,"ci","5",8,12.466
